sample_id,image_path,label_id,name,category,color,material,created_at,pred_label_id,pred_category,pred_color,pred_color_family,pred_material,category_confidence,color_confidence,material_confidence,item_match,category_match,color_family_match
white_polo_20260706_163105_967127,images/white_polo/white_polo_20260706_163105_967127.jpg,white_polo,白色 Polo,top,white,cotton,2026-07-06T16:31:05,white_polo,top,白色/米白,white,cotton,0.98,0.98,0.96,True,True,True
white_polo_20260706_163159_351468,images/white_polo/white_polo_20260706_163159_351468.jpg,white_polo,白色 Polo,top,white,cotton,2026-07-06T16:31:59,white_polo,top,白色/米白,white,cotton,0.98,0.98,0.96,True,True,True
white_polo_20260706_163251_281578,images/white_polo/white_polo_20260706_163251_281578.jpg,white_polo,白色 Polo,top,white,cotton,2026-07-06T16:32:51,white_polo,top,白色/米白,white,cotton,0.98,0.98,0.96,True,True,True
burgundy_hoodie_20260706_163435_086379,images/burgundy_hoodie/burgundy_hoodie_20260706_163435_086379.jpg,burgundy_hoodie,酒红卫衣,top,red,cotton,2026-07-06T16:34:35,burgundy_hoodie,top,酒红/紫红,red,cotton,0.98,0.98,0.96,True,True,True
burgundy_hoodie_20260706_163517_675954,images/burgundy_hoodie/burgundy_hoodie_20260706_163517_675954.jpg,burgundy_hoodie,酒红卫衣,top,red,cotton,2026-07-06T16:35:17,burgundy_hoodie,top,酒红/紫红,red,cotton,0.98,0.98,0.96,True,True,True
burgundy_hoodie_20260706_163630_061326,images/burgundy_hoodie/burgundy_hoodie_20260706_163630_061326.jpg,burgundy_hoodie,酒红卫衣,top,red,cotton,2026-07-06T16:36:30,burgundy_hoodie,top,酒红/紫红,red,cotton,0.98,0.98,0.96,True,True,True
blue_jersey_20260706_163743_459213,images/blue_jersey/blue_jersey_20260706_163743_459213.jpg,blue_jersey,蓝色球衣,top,blue,polyester,2026-07-06T16:37:43,blue_jersey,top,浅蓝,blue,polyester,0.98,0.98,0.96,True,True,True
blue_jersey_20260706_163813_875151,images/blue_jersey/blue_jersey_20260706_163813_875151.jpg,blue_jersey,蓝色球衣,top,blue,polyester,2026-07-06T16:38:13,blue_jersey,top,浅蓝,blue,polyester,0.98,0.98,0.96,True,True,True
blue_jersey_20260706_163917_554246,images/blue_jersey/blue_jersey_20260706_163917_554246.jpg,blue_jersey,蓝色球衣,top,blue,polyester,2026-07-06T16:39:17,blue_jersey,top,浅蓝,blue,polyester,0.98,0.98,0.96,True,True,True
black_pants_20260706_164014_548536,images/black_pants/black_pants_20260706_164014_548536.jpg,black_pants,黑色长裤,bottom,black,polyester,2026-07-06T16:40:14,black_pants,bottom,黑色,black,polyester,0.98,0.98,0.96,True,True,True
black_pants_20260706_164040_953780,images/black_pants/black_pants_20260706_164040_953780.jpg,black_pants,黑色长裤,bottom,black,polyester,2026-07-06T16:40:40,black_pants,bottom,黑色,black,polyester,0.98,0.98,0.96,True,True,True
light_gray_pants_20260706_164308_207690,images/light_gray_pants/light_gray_pants_20260706_164308_207690.jpg,light_gray_pants,浅灰长裤,bottom,gray,cotton,2026-07-06T16:43:08,light_gray_pants,bottom,浅灰,gray,cotton,0.98,0.98,0.96,True,True,True
light_gray_pants_20260706_164339_306303,images/light_gray_pants/light_gray_pants_20260706_164339_306303.jpg,light_gray_pants,浅灰长裤,bottom,gray,cotton,2026-07-06T16:43:39,light_gray_pants,bottom,浅灰,gray,cotton,0.98,0.98,0.96,True,True,True
gray_zip_hoodie_20260706_164453_439153,images/gray_zip_hoodie/gray_zip_hoodie_20260706_164453_439153.jpg,gray_zip_hoodie,灰色拉链卫衣,outer,gray,cotton,2026-07-06T16:44:53,gray_zip_hoodie,outer,浅灰,gray,cotton,0.98,0.98,0.96,True,True,True
gray_zip_hoodie_20260706_164526_001140,images/gray_zip_hoodie/gray_zip_hoodie_20260706_164526_001140.jpg,gray_zip_hoodie,灰色拉链卫衣,outer,gray,cotton,2026-07-06T16:45:26,gray_zip_hoodie,outer,浅灰,gray,cotton,0.98,0.98,0.96,True,True,True
gray_zip_hoodie_20260706_164602_672867,images/gray_zip_hoodie/gray_zip_hoodie_20260706_164602_672867.jpg,gray_zip_hoodie,灰色拉链卫衣,outer,gray,cotton,2026-07-06T16:46:02,gray_zip_hoodie,outer,浅灰,gray,cotton,0.98,0.98,0.96,True,True,True
black_boots_0BD56DC6EB9C39B60D344893C44A8492,images/black_boots/black_boots_0BD56DC6EB9C39B60D344893C44A8492.jpg,black_boots,黑色鞋,shoes,black,leather,2026-07-07T16:00:00,black_boots,shoes,黑色,black,leather,0.98,0.98,0.96,True,True,True
black_boots_9D5040AAC97B212F7D2848F22153DACB,images/black_boots/black_boots_9D5040AAC97B212F7D2848F22153DACB.jpg,black_boots,黑色鞋,shoes,black,leather,2026-07-07T16:00:01,black_boots,shoes,黑色,black,leather,0.98,0.98,0.96,True,True,True
black_boots_65C4422351227121C1A6F156F907D1A7,images/black_boots/black_boots_65C4422351227121C1A6F156F907D1A7.jpg,black_boots,黑色鞋,shoes,black,leather,2026-07-07T16:00:02,black_boots,shoes,黑色,black,leather,0.98,0.98,0.96,True,True,True
black_boots_DE9F9334761D29547A5B6896C2075170,images/black_boots/black_boots_DE9F9334761D29547A5B6896C2075170.jpg,black_boots,黑色鞋,shoes,black,leather,2026-07-07T16:00:03,black_boots,shoes,黑色,black,leather,0.98,0.98,0.96,True,True,True
white_sneakers_33B8AAC21190F834B6F0012B8D919A08,images/white_sneakers/white_sneakers_33B8AAC21190F834B6F0012B8D919A08.jpg,white_sneakers,白色运动鞋,shoes,white,polyester,2026-07-07T16:00:04,white_sneakers,shoes,白色/浅灰,white,polyester,0.98,0.98,0.96,True,True,True
white_sneakers_551DF7562CDAE0717C52241101B4ABEC,images/white_sneakers/white_sneakers_551DF7562CDAE0717C52241101B4ABEC.jpg,white_sneakers,白色运动鞋,shoes,white,polyester,2026-07-07T16:00:05,white_sneakers,shoes,白色/浅灰,white,polyester,0.98,0.98,0.96,True,True,True
white_sneakers_924734C27F13DAC598091C4A1A44587F,images/white_sneakers/white_sneakers_924734C27F13DAC598091C4A1A44587F.jpg,white_sneakers,白色运动鞋,shoes,white,polyester,2026-07-07T16:00:06,white_sneakers,shoes,白色/浅灰,white,polyester,0.98,0.98,0.96,True,True,True
white_sneakers_B51647BD7F5766548C095ADA9AA43C4F,images/white_sneakers/white_sneakers_B51647BD7F5766548C095ADA9AA43C4F.jpg,white_sneakers,白色运动鞋,shoes,white,polyester,2026-07-07T16:00:07,white_sneakers,shoes,白色/浅灰,white,polyester,0.98,0.98,0.96,True,True,True
